rank,drug_id,drug_name,score,raw_score,status
197,CHEMBL1200340,OSELTAMIVIR PHOSPHATE,0.7101,-1.0522,novel
198,CHEMBL6068337,LENALIDOMIDE HYDROCHLORIDE MONOHYDRATE,0.7097,-1.0568,novel
199,CHEMBL2103784,COSYNTROPIN,0.7092,-1.0638,novel
200,CHEMBL1550,PHYTONADIONE,0.7089,-1.0678,novel
201,CHEMBL1201027,GLYCOPYRRONIUM BROMIDE,0.7084,-1.0744,novel
202,CHEMBL3990026,ELAPEGADEMASE,0.7077,-1.0839,novel
203,CHEMBL3833307,SATRALIZUMAB,0.7073,-1.0888,novel
204,CHEMBL193482,ESTRIOL,0.7067,-1.0957,novel
205,CHEMBL1201439,BASILIXIMAB,0.7065,-1.099,novel
206,CHEMBL2108581,CATUMAXOMAB,0.7059,-1.1066,novel
207,CHEMBL3701238,FUTIBATINIB,0.7058,-1.1075,novel
208,CHEMBL4298037,RETIFANLIMAB,0.7057,-1.1092,novel
209,CHEMBL1201580,ADALIMUMAB,0.704,-1.1315,novel
210,CHEMBL1200389,BRIMONIDINE TARTRATE,0.7034,-1.1385,novel
211,CHEMBL1580,PENTOSTATIN,0.7032,-1.1411,novel
212,CHEMBL467,HYDROXYUREA,0.703,-1.1438,novel
213,CHEMBL820,BUSULFAN,0.7027,-1.1478,novel
214,CHEMBL1274,NILUTAMIDE,0.7024,-1.1512,novel
215,CHEMBL2448612,ERGOTAMINE TARTRATE,0.7023,-1.1524,novel
216,CHEMBL3990014,MIRIKIZUMAB,0.7016,-1.162,novel
217,CHEMBL1405,ESTRONE,0.7014,-1.1644,novel
218,CHEMBL1152,PREDNISOLONE ACETATE,0.7009,-1.1706,novel
219,CHEMBL3707247,OZANIMOD,0.7004,-1.1774,novel
220,CHEMBL117785,TETRABENAZINE,0.7003,-1.1786,novel
221,CHEMBL3137343,PEMBROLIZUMAB,0.7001,-1.1816,novel
222,CHEMBL168815,CEVIMELINE,0.6998,-1.1855,novel
